group1,group2,group3,group4,group5,group6,id,x,y,z
2.4885671144582e+14,1.0033052177534e+15,1.8783491344895e+15,1.2144971431393e+15,9.6847568334656e+14,2.9308925230961e+14,130,100,130,0
2.4701347649903e+14,9.9588644260079e+14,1.86448252831e+15,1.2055196618836e+15,9.6130628286529e+14,2.9091754824556e+14,131,100,131,0
2.4511534066086e+14,9.8824663962858e+14,1.8502026706793e+15,1.1962746861683e+15,9.5392329139826e+14,2.8868114797298e+14,132,100,132,0
2.4316270691313e+14,9.8038742282071e+14,1.8355125626123e+15,1.1867641664087e+15,9.4632826886409e+14,2.8638052399019e+14,133,100,133,0
2.4115598729166e+14,9.7231044225415e+14,1.8204152715192e+15,1.1769900960898e+15,9.3852280933738e+14,2.840161590869e+14,134,100,134,0
2.3909560260137e+14,9.6401738297353e+14,1.8049139290387e+15,1.1669545102798e+15,9.3050853978843e+14,2.8158854595328e+14,135,100,135,0
2.3698198213154e+14,9.5550996386974e+14,1.7890117288646e+15,1.1566594841206e+15,9.2228711880008e+14,2.7909818678185e+14,136,100,136,0
2.3481556336915e+14,9.4678993655472e+14,1.7727119245471e+15,1.1461071312833e+15,9.1386023525019e+14,2.76545592859e+14,137,100,137,0
2.3259679171388e+14,9.3785908424224e+14,1.7560178272805e+15,1.1352996023987e+15,9.0522960697008e+14,2.7393128414934e+14,138,100,138,0
2.3032612019559e+14,9.2871922063735e+14,1.7389328036774e+15,1.1242390834629e+15,8.9639697937822e+14,2.7125578887277e+14,139,100,139,0
2.2800400919602e+14,9.1937218884462e+14,1.7214602735456e+15,1.1129277942193e+15,8.8736412409013e+14,2.6851964307496e+14,140,100,140,0
2.2563092617499e+14,9.0981986029903e+14,1.7036037076697e+15,1.1013679865109e+15,8.7813283750127e+14,2.6572339019008e+14,141,100,141,0
2.2320734540205e+14,9.0006413372088e+14,1.6853666255932e+15,1.0895619426001e+15,8.6870493934025e+14,2.628675805957e+14,142,100,142,0
2.2073374769798e+14,8.9010693411251e+14,1.6667525934197e+15,1.0775119734591e+15,8.5908227119764e+14,2.5995277116077e+14,143,100,143,0
2.1821062018269e+14,8.7995021178692e+14,1.6477652216201e+15,1.0652204170203e+15,8.4926669502099e+14,2.5697952478588e+14,144,100,144,0
2.1563845603717e+14,8.6959594145805e+14,1.628408162876e+15,1.052689636392e+15,8.3926009158447e+14,2.5394840993697e+14,145,100,145,0
2.1301775427849e+14,8.5904612138915e+14,1.6086851099476e+15,1.0399220180271e+15,8.2906435892503e+14,2.5086000017113e+14,146,100,146,0
2.1034901955003e+14,8.483027726095e+14,1.5885997935673e+15,1.0269199698367e+15,8.1868141074263e+14,2.4771487365419e+14,147,100,147,0
2.0763276192944e+14,8.373679382065e+14,1.5681559803534e+15,1.0136859192381e+15,8.0811317476016e+14,2.4451361266912e+14,148,100,148,0
2.0486949675669e+14,8.2624368269736e+14,1.5473574707263e+15,1.0002223111251e+15,7.9736159104e+14,2.4125680311471e+14,149,100,149,0
2.020597444875e+14,8.1493209148432e+14,1.5262080967998e+15,9.8653160575547e+14,7.8642861026118e+14,2.3794503399634e+14,150,100,150,0
1.9920403058112e+14,8.0343527040235e+14,1.5047117202177e+15,9.7261627656758e+14,7.7531619197608e+14,2.3457889691501e+14,151,100,151,0
1.9630288543476e+14,7.9175534536769e+14,1.4828722298975e+15,9.5847880794732e+14,7.6402630287491e+14,2.3115898556356e+14,152,100,152,0
1.9335684437139e+14,7.7989446234194e+14,1.4606935401528e+15,9.4412169294407e+14,7.5256091505854e+14,2.276858952304e+14,153,100,153,0
1.903664476676e+14,7.6785478750073e+14,1.438179588911e+15,9.2954743082136e+14,7.4092200424418e+14,2.2416022228804e+14,154,100,154,0
1.8733224063546e+14,7.5563850701309e+14,1.4153343344839e+15,9.1475852442692e+14,7.2911154794212e+14,2.2058256367879e+14,155,100,155,0
1.8425477365764e+14,7.4324782620836e+14,1.3921617505252e+15,8.9975747685851e+14,7.1713152317956e+14,2.1695351626953e+14,156,100,156,0
1.8113460264013e+14,7.3068497036157e+14,1.3686658235491e+15,8.8454678959003e+14,7.0498390551169e+14,2.1327367659762e+14,157,100,157,0
1.77972288771e+14,7.1795218253122e+14,1.3448505442548e+15,8.6912895675289e+14,6.9267066501368e+14,2.0954363971652e+14,158,100,158,0
1.7476841015258e+14,7.0505176808912e+14,1.3207199860681e+15,8.5350651471054e+14,6.8019380744478e+14,2.0576401158545e+14,159,100,159,0
1.7152354693044e+14,6.9198603439746e+14,1.2962781859815e+15,8.3768196408401e+14,6.6755531294601e+14,2.0193539044595e+14,160,100,160,0
1.6823828344608e+14,6.7875729719859e+14,1.2715291491573e+15,8.2165777437707e+14,6.5475714003075e+14,1.9805836825468e+14,161,100,161,0
1.6491321256976e+14,6.6536789532752e+14,1.2464768684708e+15,8.0543639684298e+14,6.4180123720224e+14,1.9413353422896e+14,162,100,162,0
1.6154893640349e+14,6.5182019063687e+14,1.2211253150649e+15,7.8902025893618e+14,6.2868953992521e+14,1.9016147395023e+14,163,100,163,0
1.5814606756532e+14,6.3811656965406e+14,1.195478430786e+15,7.7241176030882e+14,6.154239690646e+14,1.8614276888873e+14,164,100,164,0
1.5470523073905e+14,6.2425944560354e+14,1.1695401197262e+15,7.5561326871293e+14,6.0200642947106e+14,1.8207799594574e+14,165,100,165,0
